2025-05-23 22:23:48.053 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-05-23 22:24:23.577 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成科室MQ消息体内容:PutMsgDto { DataChannel: "PS02004", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-23 22:24:15</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-23 22:24:15\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-05-23 22:24:15</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: "", QMgrName: "QMGR.P27", WaitInternal: 1 } ||  ||end 
2025-05-23 22:24:29.029 +08:00 || Information || MQWebApplication.Controllers.MQController || 接收返回MQ消息:SdkResponse`1 { Result: null, Msg: "", Code: "SDK23999", IsSuccessful: False, Data: null, OID: null } ||  ||end 
2025-05-23 22:24:29.095 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor || Executing "OkObjectResult", writing value of type '"MQSDK.SdkResponse`1[[MQSDK.Models.GetMsgResult, MQSDK, Version=4.5.7905.29417, Culture=neutral, PublicKeyToken=null]]"'. ||  ||end 
2025-05-23 22:24:29.222 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Executed action "MQWebApplication.Controllers.MQController.ComposePutAndGetMsgks (MQWebApplication)" in 21499.6305ms ||  ||end 
2025-05-23 22:24:29.260 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"MQWebApplication.Controllers.MQController.ComposePutAndGetMsgks (MQWebApplication)"' ||  ||end 
2025-05-23 22:24:29.266 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "POST" "http"://"localhost:5000""""/api/MQ/ComposePutAndGetMsgks""" - 200 null "application/json; charset=utf-8" 21807.9469ms ||  ||end 
2025-05-23 22:38:59.234 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-05-23 22:38:59.291 +08:00 || Information ||  || 运行环境: "MQ接口服务正在运行!!! 请勿随意关闭接口服务，避免造成数据丢失!!! Powered by .NET 9.0.5 强力驱动 on Kestrel" ||  ||end 
2025-05-23 22:38:59.438 +08:00 || Warning || Microsoft.AspNetCore.Server.Kestrel || Overriding address(es) '"http://localhost:5016"'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead. ||  ||end 
2025-05-23 22:38:59.473 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://[::]:5000" ||  ||end 
2025-05-23 22:38:59.475 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
2025-05-23 22:38:59.476 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Development" ||  ||end 
2025-05-23 22:38:59.477 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\客户源码--余开明\私单\江西附属医院\MQWebApplication\MQWebApplication" ||  ||end 
2025-05-23 22:39:04.733 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "POST" "http"://"localhost:5000""""/api/MQ/ComposePutAndGetMsgks""" - "application/json" 86 ||  ||end 
2025-05-23 22:39:04.755 +08:00 || Warning || Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware || Failed to determine the https port for redirect. ||  ||end 
2025-05-23 22:39:04.760 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"MQWebApplication.Controllers.MQController.ComposePutAndGetMsgks (MQWebApplication)"' ||  ||end 
2025-05-23 22:39:04.786 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Route matched with "{action = \"ComposePutAndGetMsgks\", controller = \"MQ\"}". Executing controller action with signature "Microsoft.AspNetCore.Mvc.IActionResult ComposePutAndGetMsgks(MQWebApplication.Models.PutMsgDto)" on controller "MQWebApplication.Controllers.MQController" ("MQWebApplication"). ||  ||end 
2025-05-23 22:39:10.176 +08:00 || Information || MQWebApplication.Controllers.MQController || 科室XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-23 22:39:10</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-23 22:39:10\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-05-23 22:39:10</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-05-23 22:39:10.180 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成科室MQ消息体内容:PutMsgDto { DataChannel: "PS02004", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-23 22:39:10</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-23 22:39:10\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-05-23 22:39:10</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: "", QMgrName: "QMGR.P27", WaitInternal: 1 } ||  ||end 
2025-05-23 22:39:15.214 +08:00 || Information || MQWebApplication.Controllers.MQController || 接收返回MQ消息:SdkResponse`1 { Result: null, Msg: "", Code: "SDK23999", IsSuccessful: False, Data: null, OID: null } ||  ||end 
2025-05-23 22:39:15.224 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor || Executing "OkObjectResult", writing value of type '"MQSDK.SdkResponse`1[[MQSDK.Models.GetMsgResult, MQSDK, Version=4.5.7905.29417, Culture=neutral, PublicKeyToken=null]]"'. ||  ||end 
2025-05-23 22:39:15.241 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Executed action "MQWebApplication.Controllers.MQController.ComposePutAndGetMsgks (MQWebApplication)" in 10448.4077ms ||  ||end 
2025-05-23 22:39:15.252 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"MQWebApplication.Controllers.MQController.ComposePutAndGetMsgks (MQWebApplication)"' ||  ||end 
2025-05-23 22:39:15.255 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "POST" "http"://"localhost:5000""""/api/MQ/ComposePutAndGetMsgks""" - 200 null "application/json; charset=utf-8" 10522.9352ms ||  ||end 
2025-05-23 22:39:34.323 +08:00 || Information || Microsoft.Hosting.Lifetime || Application is shutting down... ||  ||end 
