2025-06-06 20:20:41.939 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-06-06 20:21:09.968 +08:00 || Information || MQWebApplication.Controllers.MQController || 病区XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:09</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:09\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:09</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-06-06 20:21:09.972 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:09</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:09\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:09</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:09.972 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:09</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:09\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:09</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:09.972 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:09</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:09\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:09</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:09.972 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:09</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:09\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:09</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:09.974 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:09</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:09\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:09</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:12.368 +08:00 || Information || MQWebApplication.Controllers.MQController || 病区XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:12</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:12\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:12</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-06-06 20:21:12.370 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:12</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:12\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:12</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:17.377 +08:00 || Information || MQWebApplication.Controllers.MQController || 病区XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:17</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:17\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:17</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-06-06 20:21:17.379 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:17</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:17\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:17</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:22.376 +08:00 || Information || MQWebApplication.Controllers.MQController || 病区XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:22</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:22\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:22</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-06-06 20:21:22.379 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成病区MQ消息体内容:PutMsgDto { DataChannel: "PS02009", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:22</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:22\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:22</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: null, QMgrName: "QMGR.P27", WaitInternal: 10000 } ||  ||end 
2025-06-06 20:21:27.374 +08:00 || Information || MQWebApplication.Controllers.MQController || 病区XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-06-06 20:21:27</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-06-06 20:21:27\" action=\"update\"><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><IS_WARD>0</IS_WARD><WUBI_CODE /><UPDATE_USER /><UPDATE_TIME>2025-06-06 20:21:27</UPDATE_TIME><UPDATE_FLAG>0</UPDATE_FLAG><PINYIN_CODE /><INVALID_FLAG>1</INVALID_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
